NAME,ID,DESCRIPTION,position
Eric Davis,130,"The AL Comeback Player of the Year in ‘96, Davis returns tothe NL in99 on the heels of @ | \\ SJ",position_player
Latroy Hawkins,131,Run support was not Hawkins’ biggest ally last season. Minnesota averaged 4.61 runs per game ; = = — < a,pitcher
Gabe Kapler,132,NA,NA
Jay Buhner,133,Buhner carries a big bat in the Seattle lineup — which is saying something. An instant | SS ga |,position_player
Jarrod Washburn,134,"Washburn enjoyed a successful rookie season in ‘98, winning twice as many decisions as oS aly, 2a",pitcher
Chris Widger,135,"Widger gives the Expos a steady catcher who is solid defensively and will produce at the plate ee i, a ® :",position_player
Kirt Manwaring,136,"Considered one of the finest receivers in the National League, Manwaring started 95 games for i _— a: ee",position_player
Bobby Bonilla,137,Bobby Bonilla joins the influx of veteran leadership on the New York Mets as the club looks to | ed,position_player
Kelwn Braker,138,NA,NA
Tom Lampkin,139,"A dependable defensive catcher who provides occasional power at the plate, Lampkin should = er",position_player
Pat Hentgen,140,"Hentgen posted his sixth consecutive winning season in “98, as he registered a 12-11 mark.The = | A 28) >",pitcher
Kent Mercker,141,"Mercker led the St. Louis staff in wins, starts and innings pitehed in “98. : : Ce",pitcher
Shane Andrews,142,Andrews reached a new career high when he blasted 25 long balls last season. His 69 runs driv- fT,position_player
Dwhke Sluieeney,143,"Sweeney smacked eight homers last season, one-upping fis 97 cutout with the Royals. He also =| [aire ee",position_player
Marquis Grissom,144,Grissom delivered game-winning extra-inning RBI singles for the Brewers 4-16-98 and 4-19-96. CG 2,position_player
Jeff Suppan,145,"Suppan split the ‘98 season between Arizona, Class-AAA Tucson and Kansas City. Suppan made fi q Nee",pitcher
Richie Sexson,146,NA,position_player
Matt Clement,147,NA,pitcher
Rrfrel Palmeiag,148,"~ Having risen to superstar status during his tenure with the Orioles, Palmeiro returns to |) Sh a é",position_player
David Cone,149,NA,pitcher
Andruw Jones,150,"Quickly establishing himself as one of the premier centerfielders in the game, Andruw =| A a A",position_player
Manny Aybar,151,"Aybar has great stuff and good potential, some of the larger reasons that the Cardinals are so |) | fa ae A",pitcher
Manny Aybar,151,"Aybar has great stuff and good potential, some of the larger reasons that the Cardinals are so |) | fa ae A",position_player
Billy Taylor,152,NA,pitcher
Ieee Eee,153,"Atlanta ace Maddux posted his 11th consecutive season with at least 15 wins in ‘98, strike =f —-  / _ |",position_player
Mark Grudzielanek,154,"Grudzielanek produces solid numbers for a shortstop, showing a little bit of power and good eS he pane By Be",position_player
Hideki Irabu,155,"lrabu enjoyed a solid second season in Major League Baseball with the Yankees, posting a 13-9 | )",position_player
Preston Wilson,156,NA,NA
9,157,"Providing the Rangers with speed at the top of the lineup, Goodwin paced the club in stolen bbz ee oe a",position_player
Jose Mesa,158,"Acquired by the Giants in July, Mesa provided some key relief innings down the stretch. 2 ( ler j",pitcher
Aaron Sele,159,"Everything fell into place for Sele during his first year with the Rangers in’S8 ashe racked =f iL , 2s",pitcher
Abraham Nunez,160,The highly-regarded Nunez is an up-and-coming shortstop who has tremendous defensive | SS ee ee,position_player
Fernando Tatis,161,NA,position_player
Shigetoshi Hasegawa,162,NA,pitcher
Preston Wilson,163,"+ Wr , a a £4 sirtaer:",NA
Devon White,164,"Devon White just doesn’t seem to slow down. The seven-time Gold Glove Award winner wasthe = |) 77"")",position_player
10,165,NA,NA
11,166,NA,NA
Marty Cordova,167,Cordova is a good outfielder for Minnesota who produces solid numbers when he's in the line- ay <= |,position_player
Manny Aybar,168,"Aybar has great stuff and good potential, some of the larger reasons that the Cardinals are su fe ae",pitcher
Manny Aybar,168,"Aybar has great stuff and good potential, some of the larger reasons that the Cardinals are su fe ae",position_player
Will Clark,169,"Clark continued his steady hitting through “98, being a vital cog on a Rangers team that Sy SO sa Oa :",position_player
Todd Helton,170,"In his first full season of taking over the first-base position for the team, Helton has impressed the = | es a",position_player
Brian Anderson,171,Anderson immediately became a footnote in Diamondbacks history 11-18-97 when he was | eri,pitcher
Troy O'leary,172,"O'Leary had a huge day against the Royals 5-8-98, launching two homers with four ABI and | a a <a ete i ¥",position_player
Brant Brown,173,"Brown, who came up for brief Major League stints the previous two seasons, made the bigclubto = |",position_player
Moises Alou,174,Obtained by the Astros in an offseason trade after he helped the Marlins to the World =|) ae) <a,position_player
Mark Loretta,175,"In96, just as he did the year before, Loretta established himself as an everyday player for the Brewers ee ee.",position_player
John Valentin,176,"Valentin ended the first half of the season in style, going 3-for-5 with four runs scored and | ee Rueceemees \iaate",position_player
Michael Tucker,177,The trade with the Royals just before the start of the ‘97 season that brought Tucker to Atlanta eS Sa ie,position_player
Dennis Martinez,178,NA,pitcher
Fernando Vina,179,"Vina made baseball history just by stepping up to the plate 3-31-98 when, as the Brewers | Gt ae ik",position_player
